Ray cluster started. Available resources: {'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'GPU': 1.0, 'node:172.23.48.184': 1.0, 'memory': 9414015386.0, 'CPU': 12.0, 'object_store_memory': 4034578022.0}
Waiting for actors to initialize and run one episode...
[36m(LearnerActor pid=50245)[0m (Learner pid=50245) Initializing on GPU...
[36m(LearnerActor pid=50245)[0m (Learner pid=50245) Setup complete.

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Time Taken 0.84 seconds. Starting main training loop.
Episodes: 6600 | Avg Return: -79.16 | Avg Loss: 7.1796 | Time: 1.95s
Episodes: 6700 | Avg Return: -69.12 | Avg Loss: 7.0287 | Time: 2.03s
Episodes: 6800 | Avg Return: -68.67 | Avg Loss: 6.8847 | Time: 2.06s
Episodes: 6900 | Avg Return: -74.55 | Avg Loss: 6.8301 | Time: 2.12s
Episodes: 7000 | Avg Return: -73.80 | Avg Loss: 6.8546 | Time: 2.02s
Episodes: 7100 | Avg Return: -67.15 | Avg Loss: 6.8701 | Time: 2.16s
Episodes: 7200 | Avg Return: -67.33 | Avg Loss: 6.9852 | Time: 2.10s
Episodes: 7300 | Avg Return: -76.94 | Avg Loss: 6.9017 | Time: 1.96s
Episodes: 7400 | Avg Return: -73.74 | Avg Loss: 6.9491 | Time: 2.03s
Episodes: 7500 | Avg Return: -67.46 | Avg Loss: 7.0653 | Time: 2.00s
Episodes: 7600 | Avg Return: -73.11 | Avg Loss: 6.9992 | Time: 2.02s
Episodes: 7700 | Avg Return: -66.60 | Avg Loss: 6.9908 | Time: 2.32s
Episodes: 7800 | Avg Return: -75.54 | Avg Loss: 6.9734 | Time: 2.13s
Episodes: 7900 | Avg Return: -71.80 | Avg Loss: 7.0630 | Time: 2.19s
Episodes: 8000 | Avg Return: -68.27 | Avg Loss: 6.9006 | Time: 2.13s
Episodes: 8100 | Avg Return: -71.52 | Avg Loss: 6.7953 | Time: 2.14s
Episodes: 8200 | Avg Return: -67.21 | Avg Loss: 6.8250 | Time: 2.60s
Episodes: 8300 | Avg Return: -65.62 | Avg Loss: 6.7159 | Time: 2.46s
Episodes: 8400 | Avg Return: -72.35 | Avg Loss: 6.5998 | Time: 2.23s
Episodes: 8500 | Avg Return: -66.63 | Avg Loss: 6.7129 | Time: 2.26s
Episodes: 8600 | Avg Return: -65.95 | Avg Loss: 6.7147 | Time: 2.04s
Episodes: 8700 | Avg Return: -68.33 | Avg Loss: 6.6437 | Time: 2.37s
Episodes: 8800 | Avg Return: -64.20 | Avg Loss: 6.5523 | Time: 2.52s
Episodes: 8900 | Avg Return: -66.99 | Avg Loss: 6.5025 | Time: 2.46s
Episodes: 9000 | Avg Return: -65.59 | Avg Loss: 6.6016 | Time: 2.13s
Episodes: 9100 | Avg Return: -69.22 | Avg Loss: 6.5718 | Time: 2.11s
Episodes: 9200 | Avg Return: -69.27 | Avg Loss: 6.5638 | Time: 2.00s
Episodes: 9300 | Avg Return: -67.74 | Avg Loss: 6.4842 | Time: 1.98s
Episodes: 9400 | Avg Return: -70.72 | Avg Loss: 6.5813 | Time: 2.02s
Episodes: 9500 | Avg Return: -70.65 | Avg Loss: 6.5961 | Time: 2.10s
Episodes: 9600 | Avg Return: -66.15 | Avg Loss: 6.6710 | Time: 2.01s
Episodes: 9700 | Avg Return: -70.12 | Avg Loss: 6.6717 | Time: 2.08s
Episodes: 9800 | Avg Return: -72.30 | Avg Loss: 6.5438 | Time: 2.06s
Episodes: 9900 | Avg Return: -68.05 | Avg Loss: 6.4435 | Time: 2.07s
Episodes: 10000 | Avg Return: -65.18 | Avg Loss: 6.4574 | Time: 2.09s
Episodes: 10100 | Avg Return: -69.74 | Avg Loss: 6.3679 | Time: 2.18s
Episodes: 10200 | Avg Return: -72.50 | Avg Loss: 6.4257 | Time: 1.98s
Episodes: 10300 | Avg Return: -65.67 | Avg Loss: 6.4028 | Time: 2.15s
Episodes: 10400 | Avg Return: -64.15 | Avg Loss: 6.3977 | Time: 2.05s
Episodes: 10500 | Avg Return: -67.95 | Avg Loss: 6.4481 | Time: 2.21s
Episodes: 10600 | Avg Return: -62.88 | Avg Loss: 6.4653 | Time: 2.53s
Episodes: 10700 | Avg Return: -62.88 | Avg Loss: 6.4934 | Time: 2.23s
Episodes: 10800 | Avg Return: -68.64 | Avg Loss: 6.4899 | Time: 2.15s
Episodes: 10900 | Avg Return: -66.32 | Avg Loss: 6.4172 | Time: 2.10s
Episodes: 11000 | Avg Return: -67.00 | Avg Loss: 6.4091 | Time: 2.11s
Episodes: 11100 | Avg Return: -67.02 | Avg Loss: 6.3293 | Time: 2.06s
Episodes: 11200 | Avg Return: -70.69 | Avg Loss: 6.3635 | Time: 2.22s
Episodes: 11300 | Avg Return: -73.39 | Avg Loss: 6.2996 | Time: 2.40s
Episodes: 11400 | Avg Return: -71.02 | Avg Loss: 6.3218 | Time: 2.28s
Episodes: 11500 | Avg Return: -66.40 | Avg Loss: 6.2864 | Time: 2.46s
Episodes: 11600 | Avg Return: -65.91 | Avg Loss: 6.2873 | Time: 2.29s
Episodes: 11700 | Avg Return: -67.29 | Avg Loss: 6.3499 | Time: 2.18s
Episodes: 11800 | Avg Return: -67.20 | Avg Loss: 6.3681 | Time: 2.44s
Episodes: 11900 | Avg Return: -71.16 | Avg Loss: 6.2336 | Time: 2.47s
Episodes: 12000 | Avg Return: -63.42 | Avg Loss: 6.1618 | Time: 2.24s
Episodes: 12100 | Avg Return: -61.33 | Avg Loss: 6.1888 | Time: 2.04s
Episodes: 12200 | Avg Return: -67.05 | Avg Loss: 6.2303 | Time: 1.94s
Episodes: 12300 | Avg Return: -72.20 | Avg Loss: 6.2114 | Time: 2.03s
Episodes: 12400 | Avg Return: -69.58 | Avg Loss: 6.2463 | Time: 2.07s
Episodes: 12500 | Avg Return: -66.64 | Avg Loss: 6.1158 | Time: 2.08s
Episodes: 12600 | Avg Return: -66.85 | Avg Loss: 5.8738 | Time: 2.09s
Episodes: 12700 | Avg Return: -66.11 | Avg Loss: 5.9537 | Time: 2.10s
Episodes: 12800 | Avg Return: -72.59 | Avg Loss: 5.9196 | Time: 1.96s
Episodes: 12900 | Avg Return: -64.45 | Avg Loss: 6.0931 | Time: 2.04s
Episodes: 13000 | Avg Return: -70.24 | Avg Loss: 6.1267 | Time: 2.21s
Episodes: 13100 | Avg Return: -68.83 | Avg Loss: 6.1246 | Time: 2.01s
Episodes: 13200 | Avg Return: -78.58 | Avg Loss: 6.0391 | Time: 2.13s
Episodes: 13300 | Avg Return: -66.27 | Avg Loss: 5.9361 | Time: 2.36s
Episodes: 13400 | Avg Return: -65.84 | Avg Loss: 5.9438 | Time: 2.38s
Episodes: 13500 | Avg Return: -65.94 | Avg Loss: 5.8384 | Time: 2.13s
Episodes: 13600 | Avg Return: -69.99 | Avg Loss: 5.7765 | Time: 2.08s
Episodes: 13700 | Avg Return: -66.14 | Avg Loss: 5.8848 | Time: 2.06s
Episodes: 13800 | Avg Return: -68.90 | Avg Loss: 5.7667 | Time: 2.08s
Episodes: 13900 | Avg Return: -64.17 | Avg Loss: 5.7502 | Time: 2.03s
Episodes: 14000 | Avg Return: -64.50 | Avg Loss: 5.8115 | Time: 1.98s
Episodes: 14100 | Avg Return: -69.58 | Avg Loss: 5.8821 | Time: 2.01s
Episodes: 14200 | Avg Return: -68.14 | Avg Loss: 5.8001 | Time: 1.93s
Episodes: 14300 | Avg Return: -69.95 | Avg Loss: 5.6579 | Time: 1.96s
Episodes: 14400 | Avg Return: -70.37 | Avg Loss: 5.7340 | Time: 2.15s
Episodes: 14500 | Avg Return: -65.87 | Avg Loss: 5.8216 | Time: 2.18s
Episodes: 14600 | Avg Return: -66.51 | Avg Loss: 5.7392 | Time: 2.12s
Episodes: 14700 | Avg Return: -73.56 | Avg Loss: 5.6451 | Time: 2.03s
Episodes: 14800 | Avg Return: -72.16 | Avg Loss: 5.6051 | Time: 2.05s
Episodes: 14900 | Avg Return: -70.15 | Avg Loss: 5.6338 | Time: 2.05s
Episodes: 15000 | Avg Return: -71.84 | Avg Loss: 5.4949 | Time: 1.97s
Episodes: 15100 | Avg Return: -67.34 | Avg Loss: 5.6080 | Time: 2.05s
Episodes: 15200 | Avg Return: -65.87 | Avg Loss: 5.7211 | Time: 2.09s
Episodes: 15300 | Avg Return: -60.14 | Avg Loss: 5.5044 | Time: 2.07s
Episodes: 15400 | Avg Return: -66.92 | Avg Loss: 5.4225 | Time: 1.96s
Episodes: 15500 | Avg Return: -65.42 | Avg Loss: 5.4710 | Time: 2.00s
Episodes: 15600 | Avg Return: -63.01 | Avg Loss: 5.5833 | Time: 2.03s
