Ray cluster started. Available resources: {'node:172.23.48.184': 1.0, 'memory': 9414347981.0, 'object_store_memory': 4034720563.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'GPU': 1.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Initializing on CPU...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Setup complete.
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Initializing on GPU...
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Setup complete.
[36m(DataActor pid=102539)[0m (DataActor pid=102539) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=102531)[0m (DataActor pid=102531) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 6900 | Avg Return: -770.13 | Avg Loss: 151.2870 | Time: 7.26s
Episodes: 7000 | Avg Return: -609.45 | Avg Loss: 150.2201 | Time: 7.42s
Episodes: 7100 | Avg Return: -694.07 | Avg Loss: 149.6708 | Time: 7.34s
Episodes: 7200 | Avg Return: -631.59 | Avg Loss: 148.8167 | Time: 7.45s
Episodes: 7300 | Avg Return: -669.45 | Avg Loss: 148.0972 | Time: 7.29s
Episodes: 7400 | Avg Return: -622.37 | Avg Loss: 147.1737 | Time: 7.23s
Episodes: 7500 | Avg Return: -627.88 | Avg Loss: 146.3461 | Time: 7.30s
Episodes: 7600 | Avg Return: -548.50 | Avg Loss: 145.6679 | Time: 7.20s
Episodes: 7700 | Avg Return: -640.67 | Avg Loss: 145.0100 | Time: 7.19s
Episodes: 7800 | Avg Return: -600.68 | Avg Loss: 144.1703 | Time: 7.27s
Episodes: 7900 | Avg Return: -653.35 | Avg Loss: 143.5777 | Time: 7.38s
Episodes: 8000 | Avg Return: -589.18 | Avg Loss: 142.8198 | Time: 7.39s
Episodes: 8100 | Avg Return: -568.07 | Avg Loss: 142.2353 | Time: 7.21s
Episodes: 8200 | Avg Return: -608.75 | Avg Loss: 141.7566 | Time: 7.10s
Episodes: 8300 | Avg Return: -672.79 | Avg Loss: 140.9420 | Time: 7.17s
Episodes: 8400 | Avg Return: -593.51 | Avg Loss: 140.3078 | Time: 7.09s
Episodes: 8500 | Avg Return: -535.67 | Avg Loss: 139.5712 | Time: 6.96s
Episodes: 8600 | Avg Return: -712.17 | Avg Loss: 139.2053 | Time: 7.04s
Episodes: 8700 | Avg Return: -538.95 | Avg Loss: 138.8416 | Time: 6.99s
Episodes: 8800 | Avg Return: -560.48 | Avg Loss: 138.3077 | Time: 7.22s
Episodes: 8900 | Avg Return: -634.73 | Avg Loss: 138.0276 | Time: 7.44s
Episodes: 9000 | Avg Return: -567.76 | Avg Loss: 137.0470 | Time: 7.41s
Episodes: 9100 | Avg Return: -643.45 | Avg Loss: 136.5599 | Time: 6.80s
Episodes: 9200 | Avg Return: -529.44 | Avg Loss: 136.3718 | Time: 6.94s
Episodes: 9300 | Avg Return: -580.52 | Avg Loss: 135.8953 | Time: 6.90s
Episodes: 9400 | Avg Return: -703.68 | Avg Loss: 135.4322 | Time: 6.86s
Episodes: 9500 | Avg Return: -660.32 | Avg Loss: 134.8862 | Time: 6.70s
Episodes: 9600 | Avg Return: -566.81 | Avg Loss: 134.7987 | Time: 6.93s
Episodes: 9700 | Avg Return: -655.08 | Avg Loss: 134.2538 | Time: 6.96s
Episodes: 9800 | Avg Return: -616.35 | Avg Loss: 133.6936 | Time: 6.87s
Episodes: 9900 | Avg Return: -589.72 | Avg Loss: 133.2797 | Time: 6.82s
Episodes: 10000 | Avg Return: -596.58 | Avg Loss: 133.0394 | Time: 6.97s
Episodes: 10100 | Avg Return: -612.85 | Avg Loss: 132.7173 | Time: 6.91s
Episodes: 10200 | Avg Return: -628.92 | Avg Loss: 132.0190 | Time: 6.88s
Episodes: 10300 | Avg Return: -589.71 | Avg Loss: 131.7882 | Time: 6.95s
Episodes: 10400 | Avg Return: -525.88 | Avg Loss: 131.9908 | Time: 6.91s
